Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 64.0.3282.186,,2018-03-16 00:00:11,2018-03-16 00:15:03,14m - 51.430s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 64.0.3282.186,,2018-03-16 00:00:12,2018-03-16 00:01:14,1m - 2.221s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 00:00:12,2018-03-16 00:00:17,4.215s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 00:00:17,2018-03-16 00:00:19,2.699s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:00:19,2018-03-16 00:00:20,0.528s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:00:20,2018-03-16 00:00:20,0.215s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:00:20,2018-03-16 00:00:23,2.996s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:00:23,2018-03-16 00:00:32,8.776s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:00:32,2018-03-16 00:00:33,0.847s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:00:33,2018-03-16 00:00:35,2.239s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:00:35,2018-03-16 00:00:40,5.029s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:00:40,2018-03-16 00:00:43,2.664s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:00:43,2018-03-16 00:01:14,31.463s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 64.0.3282.186,,2018-03-16 00:01:14,2018-03-16 00:03:37,2m - 22.951s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 00:01:14,2018-03-16 00:01:17,3.197s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 00:01:17,2018-03-16 00:01:21,3.463s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:01:21,2018-03-16 00:01:21,0.541s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:01:21,2018-03-16 00:01:21,0.176s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:21,2018-03-16 00:01:24,2.425s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:24,2018-03-16 00:01:33,9.010s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:01:33,2018-03-16 00:01:34,0.826s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:34,2018-03-16 00:01:35,1.562s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:01:35,2018-03-16 00:01:40,5.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:40,2018-03-16 00:01:42,2.019s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:42,2018-03-16 00:01:44,1.505s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:44,2018-03-16 00:01:47,3.157s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:47,2018-03-16 00:01:47,0.086s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:47,2018-03-16 00:01:47,0.102s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:47,2018-03-16 00:01:49,1.625s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:01:49,2018-03-16 00:01:49,0.081s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:01:49,2018-03-16 00:02:19,30.004s,PASSED
switchToFrame,Chrome 64.0.3282.186,,2018-03-16 00:02:19,2018-03-16 00:02:19,0.116s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:02:19,2018-03-16 00:02:24,5.002s,PASSED
selectOptionByLabel,Chrome 64.0.3282.186,,2018-03-16 00:02:24,2018-03-16 00:02:24,0.191s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:02:24,2018-03-16 00:02:25,0.551s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:02:25,2018-03-16 00:02:25,0.339s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:02:25,2018-03-16 00:02:25,0.307s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:02:25,2018-03-16 00:02:26,0.243s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:02:26,2018-03-16 00:02:26,0.283s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:02:26,2018-03-16 00:02:31,5.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:02:31,2018-03-16 00:02:31,0.200s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:02:31,2018-03-16 00:02:31,0.206s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:02:31,2018-03-16 00:02:36,5.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:02:36,2018-03-16 00:02:36,0.138s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:02:36,2018-03-16 00:03:36,1m - 0.002s,PASSED
verifyTextPresent,Chrome 64.0.3282.186,,2018-03-16 00:03:36,2018-03-16 00:03:37,0.492s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 64.0.3282.186,,2018-03-16 00:03:37,2018-03-16 00:04:12,35.241s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 00:03:37,2018-03-16 00:03:40,3.237s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 00:03:40,2018-03-16 00:03:44,3.406s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:03:44,2018-03-16 00:03:44,0.342s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:03:44,2018-03-16 00:03:44,0.200s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:03:44,2018-03-16 00:03:47,2.835s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:03:47,2018-03-16 00:03:59,11.796s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:03:59,2018-03-16 00:04:00,0.865s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:00,2018-03-16 00:04:01,1.442s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:04:01,2018-03-16 00:04:06,5.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:06,2018-03-16 00:04:08,1.736s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:08,2018-03-16 00:04:09,1.666s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:09,2018-03-16 00:04:12,2.170s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:12,2018-03-16 00:04:12,0.113s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:12,2018-03-16 00:04:12,0.398s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 64.0.3282.186,,2018-03-16 00:04:12,2018-03-16 00:05:36,1m - 23.503s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 00:04:12,2018-03-16 00:04:15,3.221s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 00:04:15,2018-03-16 00:04:18,2.839s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:04:18,2018-03-16 00:04:19,0.575s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:04:19,2018-03-16 00:04:19,0.173s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:19,2018-03-16 00:04:21,2.457s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:21,2018-03-16 00:04:30,8.454s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:04:30,2018-03-16 00:04:31,0.854s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:31,2018-03-16 00:04:33,2.699s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:04:33,2018-03-16 00:04:38,5.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:38,2018-03-16 00:04:41,2.397s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:41,2018-03-16 00:04:44,2.802s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:44,2018-03-16 00:04:46,2.647s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:46,2018-03-16 00:04:46,0.147s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:46,2018-03-16 00:04:47,0.122s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:47,2018-03-16 00:04:48,1.176s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:04:48,2018-03-16 00:04:48,0.113s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:04:48,2018-03-16 00:05:18,30.002s,PASSED
switchToFrame,Chrome 64.0.3282.186,,2018-03-16 00:05:18,2018-03-16 00:05:18,0.086s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:05:18,2018-03-16 00:05:23,5.001s,PASSED
selectOptionByLabel,Chrome 64.0.3282.186,,2018-03-16 00:05:23,2018-03-16 00:05:23,0.145s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:23,2018-03-16 00:05:24,0.510s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:24,2018-03-16 00:05:24,0.330s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:24,2018-03-16 00:05:24,0.503s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:24,2018-03-16 00:05:25,0.292s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:25,2018-03-16 00:05:25,0.255s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:05:25,2018-03-16 00:05:30,5.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:05:30,2018-03-16 00:05:30,0.171s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:05:30,2018-03-16 00:05:30,0.135s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:05:30,2018-03-16 00:05:35,5.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:05:35,2018-03-16 00:05:36,0.354s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 64.0.3282.186,,2018-03-16 00:05:36,2018-03-16 00:07:59,2m - 23.195s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 00:05:36,2018-03-16 00:05:39,3.320s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 00:05:39,2018-03-16 00:05:42,2.938s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:42,2018-03-16 00:05:42,0.522s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:42,2018-03-16 00:05:43,0.168s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:05:43,2018-03-16 00:05:45,2.698s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:05:45,2018-03-16 00:05:54,8.969s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:05:54,2018-03-16 00:05:55,0.947s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:05:55,2018-03-16 00:05:57,1.428s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:05:57,2018-03-16 00:06:02,5.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:02,2018-03-16 00:06:04,1.842s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:04,2018-03-16 00:06:05,1.486s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:05,2018-03-16 00:06:08,3.150s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:08,2018-03-16 00:06:08,0.202s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:08,2018-03-16 00:06:08,0.105s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:08,2018-03-16 00:06:11,2.173s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:11,2018-03-16 00:06:11,0.108s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:06:11,2018-03-16 00:06:41,30.005s,PASSED
switchToFrame,Chrome 64.0.3282.186,,2018-03-16 00:06:41,2018-03-16 00:06:41,0.075s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:06:41,2018-03-16 00:06:46,5.003s,PASSED
selectOptionByLabel,Chrome 64.0.3282.186,,2018-03-16 00:06:46,2018-03-16 00:06:46,0.198s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:06:46,2018-03-16 00:06:47,0.578s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:06:47,2018-03-16 00:06:47,0.311s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:06:47,2018-03-16 00:06:47,0.369s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:06:47,2018-03-16 00:06:48,0.233s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:06:48,2018-03-16 00:06:48,0.277s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:06:48,2018-03-16 00:06:53,5.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:53,2018-03-16 00:06:53,0.157s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:53,2018-03-16 00:06:53,0.206s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:06:53,2018-03-16 00:06:58,5.003s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:06:58,2018-03-16 00:06:58,0.194s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:06:58,2018-03-16 00:07:58,1m - 0.004s,PASSED
verifyTextPresent,Chrome 64.0.3282.186,,2018-03-16 00:07:58,2018-03-16 00:07:59,0.499s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 64.0.3282.186,,2018-03-16 00:07:59,2018-03-16 00:10:20,2m - 20.739s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 00:07:59,2018-03-16 00:08:02,3.365s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 00:08:02,2018-03-16 00:08:05,2.854s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:08:05,2018-03-16 00:08:06,0.883s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:08:06,2018-03-16 00:08:06,0.197s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:06,2018-03-16 00:08:09,2.620s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:09,2018-03-16 00:08:16,6.941s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:08:16,2018-03-16 00:08:17,0.929s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:17,2018-03-16 00:08:18,1.321s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:08:18,2018-03-16 00:08:23,5.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:23,2018-03-16 00:08:25,1.912s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:25,2018-03-16 00:08:26,1.472s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:26,2018-03-16 00:08:30,3.754s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:30,2018-03-16 00:08:30,0.120s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:30,2018-03-16 00:08:30,0.115s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:30,2018-03-16 00:08:32,1.135s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:08:32,2018-03-16 00:08:32,0.084s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:08:32,2018-03-16 00:09:02,30.001s,PASSED
switchToFrame,Chrome 64.0.3282.186,,2018-03-16 00:09:02,2018-03-16 00:09:02,0.067s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:09:02,2018-03-16 00:09:07,5.002s,PASSED
selectOptionByLabel,Chrome 64.0.3282.186,,2018-03-16 00:09:07,2018-03-16 00:09:07,0.159s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:09:07,2018-03-16 00:09:07,0.481s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:09:07,2018-03-16 00:09:08,0.325s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:09:08,2018-03-16 00:09:08,0.342s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:09:08,2018-03-16 00:09:08,0.266s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:09:08,2018-03-16 00:09:09,0.304s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:09:09,2018-03-16 00:09:14,5.004s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:09:14,2018-03-16 00:09:14,0.177s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:09:14,2018-03-16 00:09:14,0.168s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:09:14,2018-03-16 00:09:19,5.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:09:19,2018-03-16 00:09:19,0.162s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:09:19,2018-03-16 00:10:19,1m - 0.003s,PASSED
verifyTextPresent,Chrome 64.0.3282.186,,2018-03-16 00:10:19,2018-03-16 00:10:20,0.553s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 64.0.3282.186,,2018-03-16 00:10:20,2018-03-16 00:12:41,2m - 21.091s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 00:10:20,2018-03-16 00:10:23,3.335s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 00:10:23,2018-03-16 00:10:26,2.914s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:10:26,2018-03-16 00:10:26,0.476s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:10:26,2018-03-16 00:10:27,0.162s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:10:27,2018-03-16 00:10:29,2.632s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:10:29,2018-03-16 00:10:36,6.710s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 00:10:36,2018-03-16 00:10:37,0.844s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 00:10:37,2018-03-16 00:10:38,1.517s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 00:10:38,2018-03-16 00:10:43,5.001s,PASSED
