Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Firefox 61.0,,2018-09-11 21:17:20,2018-09-11 21:21:01,3m - 40.492s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Firefox 61.0,,2018-09-11 21:17:21,2018-09-11 21:18:59,1m - 37.776s,FAILED
openBrowser,Firefox 61.0,,2018-09-11 21:17:22,2018-09-11 21:17:38,16.154s,PASSED
maximizeWindow,Firefox 61.0,,2018-09-11 21:17:38,2018-09-11 21:17:42,3.607s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-11 21:17:42,2018-09-11 21:17:45,3.160s,PASSED
delay,Firefox 61.0,,2018-09-11 21:17:45,2018-09-11 21:17:50,5.090s,PASSED
setText,Firefox 61.0,,2018-09-11 21:17:50,2018-09-11 21:17:53,2.784s,PASSED
setText,Firefox 61.0,,2018-09-11 21:17:53,2018-09-11 21:17:53,0.281s,PASSED
click,Firefox 61.0,,2018-09-11 21:17:53,2018-09-11 21:17:57,4.068s,PASSED
delay,Firefox 61.0,,2018-09-11 21:17:57,2018-09-11 21:18:02,5.006s,PASSED
click,Firefox 61.0,,2018-09-11 21:18:02,2018-09-11 21:18:07,4.596s,PASSED
setText,Firefox 61.0,,2018-09-11 21:18:07,2018-09-11 21:18:07,0.532s,PASSED
click,Firefox 61.0,,2018-09-11 21:18:07,2018-09-11 21:18:09,2.083s,PASSED
delay,Firefox 61.0,,2018-09-11 21:18:09,2018-09-11 21:18:14,5.003s,PASSED
click,Firefox 61.0,,2018-09-11 21:18:14,2018-09-11 21:18:19,4.761s,PASSED
click,Firefox 61.0,,2018-09-11 21:18:19,2018-09-11 21:18:59,39.519s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Firefox 61.0,,2018-09-11 21:18:59,2018-09-11 21:21:00,2m - 0.802s,FAILED
openBrowser,Firefox 61.0,,2018-09-11 21:18:59,2018-09-11 21:19:14,15.149s,PASSED
maximizeWindow,Firefox 61.0,,2018-09-11 21:19:14,2018-09-11 21:19:18,4.262s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-11 21:19:18,2018-09-11 21:19:20,1.943s,PASSED
delay,Firefox 61.0,,2018-09-11 21:19:20,2018-09-11 21:19:25,5.004s,PASSED
setText,Firefox 61.0,,2018-09-11 21:19:25,2018-09-11 21:19:25,0.169s,PASSED
setText,Firefox 61.0,,2018-09-11 21:19:25,2018-09-11 21:19:26,0.231s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:26,2018-09-11 21:19:28,2.450s,PASSED
delay,Firefox 61.0,,2018-09-11 21:19:28,2018-09-11 21:19:33,5.001s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:33,2018-09-11 21:19:37,3.566s,PASSED
setText,Firefox 61.0,,2018-09-11 21:19:37,2018-09-11 21:19:37,0.228s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:37,2018-09-11 21:19:39,1.900s,PASSED
delay,Firefox 61.0,,2018-09-11 21:19:39,2018-09-11 21:19:44,5.004s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:44,2018-09-11 21:19:47,3.473s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:47,2018-09-11 21:19:51,3.777s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:51,2018-09-11 21:19:51,0.303s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:51,2018-09-11 21:19:52,0.299s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:52,2018-09-11 21:19:52,0.286s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:52,2018-09-11 21:19:53,1.275s,PASSED
click,Firefox 61.0,,2018-09-11 21:19:53,2018-09-11 21:19:53,0.270s,PASSED
delay,Firefox 61.0,,2018-09-11 21:19:53,2018-09-11 21:20:23,30.004s,PASSED
switchToFrame,Firefox 61.0,,2018-09-11 21:20:23,2018-09-11 21:20:24,0.080s,PASSED
delay,Firefox 61.0,,2018-09-11 21:20:24,2018-09-11 21:20:29,5.005s,PASSED
selectOptionByLabel,Firefox 61.0,,2018-09-11 21:20:29,2018-09-11 21:21:00,30.984s,FAILED
