Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 64.0.3282.186,,2018-03-14 23:31:34,2018-03-14 23:32:29,55.150s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-14 23:31:35,2018-03-14 23:31:58,23.147s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 23:31:35,2018-03-14 23:31:41,5.517s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 23:31:41,2018-03-14 23:31:51,9.900s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:31:51,2018-03-14 23:31:51,0.374s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:31:51,2018-03-14 23:31:52,0.385s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:31:52,2018-03-14 23:31:52,0.364s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:31:52,2018-03-14 23:31:54,2.234s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:31:54,2018-03-14 23:31:55,0.405s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:31:55,2018-03-14 23:31:55,0.666s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:31:55,2018-03-14 23:31:55,0.210s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:31:55,2018-03-14 23:31:56,0.181s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:31:56,2018-03-14 23:31:56,0.167s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:31:56,2018-03-14 23:31:56,0.158s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:31:56,2018-03-14 23:31:56,0.397s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:31:56,2018-03-14 23:31:57,0.201s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-14 23:31:57,2018-03-14 23:31:58,1.357s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-14 23:31:58,2018-03-14 23:32:13,15.555s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 23:31:58,2018-03-14 23:32:01,2.786s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 23:32:01,2018-03-14 23:32:07,6.527s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:07,2018-03-14 23:32:08,0.428s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:08,2018-03-14 23:32:08,0.218s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:08,2018-03-14 23:32:09,0.609s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:32:09,2018-03-14 23:32:10,1.734s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:32:10,2018-03-14 23:32:11,0.357s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:32:11,2018-03-14 23:32:11,0.652s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:11,2018-03-14 23:32:11,0.146s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:11,2018-03-14 23:32:12,0.173s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:12,2018-03-14 23:32:12,0.179s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:32:12,2018-03-14 23:32:12,0.137s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:32:12,2018-03-14 23:32:12,0.393s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:32:12,2018-03-14 23:32:12,0.141s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-14 23:32:12,2018-03-14 23:32:13,1.047s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-14 23:32:13,2018-03-14 23:32:29,15.643s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 23:32:14,2018-03-14 23:32:16,2.651s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 23:32:16,2018-03-14 23:32:23,6.673s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:23,2018-03-14 23:32:23,0.383s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:23,2018-03-14 23:32:24,0.282s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:24,2018-03-14 23:32:24,0.543s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:32:24,2018-03-14 23:32:26,1.888s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:32:26,2018-03-14 23:32:26,0.318s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:32:26,2018-03-14 23:32:27,0.620s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:27,2018-03-14 23:32:27,0.130s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:27,2018-03-14 23:32:27,0.161s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:32:27,2018-03-14 23:32:27,0.137s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:32:27,2018-03-14 23:32:27,0.130s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:32:27,2018-03-14 23:32:28,0.447s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:32:28,2018-03-14 23:32:28,0.157s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-14 23:32:28,2018-03-14 23:32:29,1.077s,PASSED
