Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 64.0.3282.186,,2018-03-15 01:42:47,2018-03-15 01:44:25,1m - 38.471s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:42:47,2018-03-15 01:43:20,32.954s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:42:48,2018-03-15 01:42:52,4.008s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:42:52,2018-03-15 01:43:00,7.734s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:00,2018-03-15 01:43:00,0.360s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:00,2018-03-15 01:43:00,0.270s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:00,2018-03-15 01:43:01,0.359s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:43:01,2018-03-15 01:43:03,2.040s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:43:03,2018-03-15 01:43:03,0.389s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:03,2018-03-15 01:43:04,0.639s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:04,2018-03-15 01:43:04,0.167s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:04,2018-03-15 01:43:04,0.182s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:04,2018-03-15 01:43:04,0.143s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:04,2018-03-15 01:43:04,0.117s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:43:04,2018-03-15 01:43:05,0.404s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:05,2018-03-15 01:43:05,0.136s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:43:05,2018-03-15 01:43:05,0.140s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:43:05,2018-03-15 01:43:05,0.021s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:43:05,2018-03-15 01:43:07,1.766s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:07,2018-03-15 01:43:08,0.681s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:08,2018-03-15 01:43:08,0.247s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:08,2018-03-15 01:43:10,2.269s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:10,2018-03-15 01:43:17,7.337s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:17,2018-03-15 01:43:18,0.956s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:18,2018-03-15 01:43:20,1.647s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:20,2018-03-15 01:43:20,0.318s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:43:20,2018-03-15 01:43:50,30.043s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:43:20,2018-03-15 01:43:24,3.709s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:43:24,2018-03-15 01:43:30,6.186s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:30,2018-03-15 01:43:31,0.566s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:31,2018-03-15 01:43:31,0.268s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:31,2018-03-15 01:43:32,0.449s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:43:32,2018-03-15 01:43:34,1.915s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:43:34,2018-03-15 01:43:34,0.386s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:34,2018-03-15 01:43:35,0.636s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:35,2018-03-15 01:43:35,0.199s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:35,2018-03-15 01:43:35,0.152s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:35,2018-03-15 01:43:35,0.177s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:35,2018-03-15 01:43:35,0.113s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:43:35,2018-03-15 01:43:36,0.471s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:36,2018-03-15 01:43:36,0.134s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:43:36,2018-03-15 01:43:36,0.011s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:43:36,2018-03-15 01:43:36,0.006s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:43:36,2018-03-15 01:43:38,1.869s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:38,2018-03-15 01:43:38,0.736s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:38,2018-03-15 01:43:39,0.193s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:39,2018-03-15 01:43:41,2.337s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:41,2018-03-15 01:43:48,6.836s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:43:48,2018-03-15 01:43:49,0.843s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:49,2018-03-15 01:43:50,1.413s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:43:50,2018-03-15 01:43:50,0.325s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:43:50,2018-03-15 01:44:24,33.514s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:43:50,2018-03-15 01:43:54,3.919s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:43:54,2018-03-15 01:44:03,8.156s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:03,2018-03-15 01:44:03,0.315s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:03,2018-03-15 01:44:03,0.244s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:03,2018-03-15 01:44:03,0.381s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:44:03,2018-03-15 01:44:06,2.077s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:44:06,2018-03-15 01:44:06,0.365s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:44:06,2018-03-15 01:44:07,0.626s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:07,2018-03-15 01:44:07,0.137s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:07,2018-03-15 01:44:07,0.161s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:07,2018-03-15 01:44:07,0.159s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:44:07,2018-03-15 01:44:07,0.119s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:44:07,2018-03-15 01:44:08,0.406s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:44:08,2018-03-15 01:44:08,0.177s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:44:08,2018-03-15 01:44:08,0.015s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:44:08,2018-03-15 01:44:08,0.008s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:44:08,2018-03-15 01:44:10,2.221s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:10,2018-03-15 01:44:11,0.577s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:11,2018-03-15 01:44:11,0.182s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:44:11,2018-03-15 01:44:13,2.589s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:44:13,2018-03-15 01:44:21,7.895s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:44:21,2018-03-15 01:44:22,1.085s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:44:22,2018-03-15 01:44:24,1.382s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:44:24,2018-03-15 01:44:24,0.288s,FAILED
