Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 68.0.3440.106,,2018-09-11 16:28:43,2018-09-11 16:31:14,2m - 31.194s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 68.0.3440.106,,2018-09-11 16:28:44,2018-09-11 16:30:22,1m - 38.163s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 16:28:45,2018-09-11 16:28:54,8.739s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-11 16:28:54,2018-09-11 16:28:55,1.265s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 16:28:55,2018-09-11 16:28:59,3.878s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:28:59,2018-09-11 16:29:04,5.054s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:29:04,2018-09-11 16:29:06,1.755s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:29:06,2018-09-11 16:29:07,0.855s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:07,2018-09-11 16:29:11,4.420s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:29:11,2018-09-11 16:29:16,5.006s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:16,2018-09-11 16:29:20,4.236s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:29:20,2018-09-11 16:29:24,3.467s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:24,2018-09-11 16:29:27,2.933s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:29:27,2018-09-11 16:29:32,5.006s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:32,2018-09-11 16:29:36,3.957s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:36,2018-09-11 16:29:38,2.644s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:38,2018-09-11 16:29:43,4.457s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:43,2018-09-11 16:29:43,0.217s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:43,2018-09-11 16:29:43,0.359s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:43,2018-09-11 16:29:45,1.973s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:29:45,2018-09-11 16:29:46,0.212s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:29:46,2018-09-11 16:30:16,30.004s,PASSED
switchToFrame,Chrome 68.0.3440.106,,2018-09-11 16:30:16,2018-09-11 16:30:16,0.139s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:30:16,2018-09-11 16:30:21,5.004s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-11 16:30:21,2018-09-11 16:30:22,1.709s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 68.0.3440.106,,2018-09-11 16:30:22,2018-09-11 16:31:13,50.724s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 16:30:22,2018-09-11 16:30:26,3.535s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-11 16:30:26,2018-09-11 16:30:27,1.187s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 16:30:27,2018-09-11 16:30:29,1.935s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:30:29,2018-09-11 16:30:34,5.005s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:30:34,2018-09-11 16:30:35,1.276s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:30:35,2018-09-11 16:30:36,0.650s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:30:36,2018-09-11 16:30:39,3.049s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:30:39,2018-09-11 16:30:44,5.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:30:44,2018-09-11 16:30:53,9.300s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:30:53,2018-09-11 16:30:55,1.629s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:30:55,2018-09-11 16:30:59,4.386s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:30:59,2018-09-11 16:31:04,5.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:31:04,2018-09-11 16:31:08,3.592s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:31:08,2018-09-11 16:31:10,2.338s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:31:10,2018-09-11 16:31:13,2.730s,FAILED
