Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 64.0.3282.186,,2018-03-15 01:47:05,2018-03-15 01:50:14,3m - 8.465s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:47:06,2018-03-15 01:48:09,1m - 2.718s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:47:06,2018-03-15 01:47:10,3.304s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:47:10,2018-03-15 01:47:17,7.695s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:17,2018-03-15 01:47:18,0.572s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:18,2018-03-15 01:47:18,0.349s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:18,2018-03-15 01:47:19,0.606s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:47:19,2018-03-15 01:47:21,2.203s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:47:21,2018-03-15 01:47:22,0.403s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:22,2018-03-15 01:47:22,0.682s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:22,2018-03-15 01:47:22,0.218s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:22,2018-03-15 01:47:23,0.210s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:23,0.162s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:23,0.141s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:23,0.431s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:23,2018-03-15 01:47:24,0.148s,PASSED
waitForPageLoad,Chrome 64.0.3282.186,,2018-03-15 01:47:24,2018-03-15 01:47:24,0.155s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-15 01:47:24,2018-03-15 01:47:54,30.030s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:47:54,2018-03-15 01:47:56,2.544s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:56,2018-03-15 01:47:57,0.369s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:47:57,2018-03-15 01:47:57,0.236s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:57,2018-03-15 01:47:59,2.395s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:47:59,2018-03-15 01:48:06,6.619s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-15 01:48:06,2018-03-15 01:48:07,0.899s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:07,2018-03-15 01:48:08,1.398s,PASSED
click,Chrome 64.0.3282.186,,2018-03-15 01:48:08,2018-03-15 01:48:09,0.304s,FAILED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-15 01:48:09,2018-03-15 01:49:09,1m - 0.905s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-15 01:48:09,2018-03-15 01:48:12,3.512s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-15 01:48:12,2018-03-15 01:48:20,7.509s,PASSED
