Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 64.0.3282.186,,2018-03-14 23:50:14,2018-03-14 23:51:06,52.043s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-14 23:50:14,2018-03-14 23:50:32,18.257s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 23:50:15,2018-03-14 23:50:18,3.746s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 23:50:18,2018-03-14 23:50:26,7.214s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:26,2018-03-14 23:50:26,0.310s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:26,2018-03-14 23:50:26,0.265s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:26,2018-03-14 23:50:27,0.353s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:50:27,2018-03-14 23:50:29,2.424s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:50:29,2018-03-14 23:50:29,0.408s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:50:29,2018-03-14 23:50:30,0.675s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:30,2018-03-14 23:50:30,0.137s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:30,2018-03-14 23:50:30,0.165s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:30,2018-03-14 23:50:31,0.153s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:50:31,2018-03-14 23:50:31,0.136s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:50:31,2018-03-14 23:50:31,0.412s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:50:31,2018-03-14 23:50:31,0.147s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-14 23:50:31,2018-03-14 23:50:32,1.180s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-14 23:50:32,2018-03-14 23:50:49,16.501s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 23:50:33,2018-03-14 23:50:35,2.817s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 23:50:35,2018-03-14 23:50:42,6.618s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:42,2018-03-14 23:50:42,0.405s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:42,2018-03-14 23:50:43,0.493s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:43,2018-03-14 23:50:43,0.493s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:50:43,2018-03-14 23:50:46,2.215s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:50:46,2018-03-14 23:50:46,0.380s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:50:46,2018-03-14 23:50:47,0.635s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:47,2018-03-14 23:50:47,0.136s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:47,2018-03-14 23:50:47,0.145s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:47,2018-03-14 23:50:47,0.153s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:50:47,2018-03-14 23:50:47,0.163s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:50:47,2018-03-14 23:50:48,0.537s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:50:48,2018-03-14 23:50:48,0.145s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-14 23:50:48,2018-03-14 23:50:49,1.098s,PASSED
,,,,,,
Test Cases/LeadCreation,Chrome 64.0.3282.186,,2018-03-14 23:50:49,2018-03-14 23:51:06,16.793s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-14 23:50:49,2018-03-14 23:50:52,2.715s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-14 23:50:52,2018-03-14 23:50:59,7.436s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:50:59,2018-03-14 23:51:00,0.397s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:51:00,2018-03-14 23:51:00,0.269s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:51:00,2018-03-14 23:51:00,0.366s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:51:00,2018-03-14 23:51:02,2.028s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:51:02,2018-03-14 23:51:03,0.430s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:51:03,2018-03-14 23:51:03,0.651s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:51:03,2018-03-14 23:51:03,0.179s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:51:03,2018-03-14 23:51:04,0.209s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-14 23:51:04,2018-03-14 23:51:04,0.183s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:51:04,2018-03-14 23:51:04,0.127s,PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-14 23:51:04,2018-03-14 23:51:04,0.434s,PASSED
click,Chrome 64.0.3282.186,,2018-03-14 23:51:04,2018-03-14 23:51:05,0.146s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-14 23:51:05,2018-03-14 23:51:06,1.199s,PASSED
