Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 68.0.3440.106,,2018-09-11 23:10:38,2018-09-11 23:30:51,20m - 12.705s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 68.0.3440.106,,2018-09-11 23:10:39,2018-09-11 23:13:37,2m - 58.229s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 23:10:40,2018-09-11 23:10:45,5.482s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-11 23:10:45,2018-09-11 23:10:47,1.229s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 23:10:47,2018-09-11 23:10:48,1.790s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:10:48,2018-09-11 23:10:53,5.052s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:10:53,2018-09-11 23:10:54,1.028s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:10:54,2018-09-11 23:10:55,0.521s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:10:55,2018-09-11 23:10:57,2.373s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:10:57,2018-09-11 23:11:02,5.005s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:02,2018-09-11 23:11:06,3.797s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:11:06,2018-09-11 23:11:08,2.217s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:08,2018-09-11 23:11:10,1.997s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:11:10,2018-09-11 23:11:15,5.004s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:15,2018-09-11 23:11:18,2.944s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:18,2018-09-11 23:11:21,2.167s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:21,2018-09-11 23:11:23,2.386s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:23,2018-09-11 23:11:23,0.176s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:23,2018-09-11 23:11:23,0.323s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:23,2018-09-11 23:11:25,1.191s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:11:25,2018-09-11 23:11:25,0.174s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:11:25,2018-09-11 23:11:55,30.003s,PASSED
switchToFrame,Chrome 68.0.3440.106,,2018-09-11 23:11:55,2018-09-11 23:11:55,0.122s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:11:55,2018-09-11 23:12:00,5.004s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-11 23:12:00,2018-09-11 23:12:00,0.327s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:12:00,2018-09-11 23:12:02,1.272s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:12:02,2018-09-11 23:12:02,0.595s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:12:02,2018-09-11 23:12:03,0.604s,PASSED
