Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 68.0.3440.106,,2018-09-11 23:02:03,2018-09-11 23:07:05,5m - 2.211s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 68.0.3440.106,,2018-09-11 23:02:05,2018-09-11 23:03:50,1m - 44.988s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 23:02:06,2018-09-11 23:02:16,9.285s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-11 23:02:16,2018-09-11 23:02:17,1.475s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 23:02:17,2018-09-11 23:02:26,8.355s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:02:26,2018-09-11 23:02:31,5.070s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:02:31,2018-09-11 23:02:33,1.964s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:02:33,2018-09-11 23:02:34,1.871s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:02:34,2018-09-11 23:02:37,2.416s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:02:37,2018-09-11 23:02:42,5.004s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:02:42,2018-09-11 23:02:51,8.831s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:02:51,2018-09-11 23:02:53,1.840s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:02:53,2018-09-11 23:02:55,2.877s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:02:55,2018-09-11 23:03:00,5.004s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:03:00,2018-09-11 23:03:08,7.563s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:03:08,2018-09-11 23:03:50,41.709s,FAILED
,,,,,,
Test Cases/Convert Lead in sf,Chrome 68.0.3440.106,,2018-09-11 23:03:50,2018-09-11 23:07:05,3m - 15.380s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 23:03:50,2018-09-11 23:03:54,4.205s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-11 23:03:54,2018-09-11 23:03:55,1.403s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 23:03:55,2018-09-11 23:04:02,6.806s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:04:02,2018-09-11 23:04:07,5.002s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:04:07,2018-09-11 23:04:09,1.889s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:04:09,2018-09-11 23:04:10,1.049s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:10,2018-09-11 23:04:13,2.672s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:04:13,2018-09-11 23:04:18,5.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:18,2018-09-11 23:04:23,4.822s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:04:23,2018-09-11 23:04:25,2.313s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:25,2018-09-11 23:04:28,2.675s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:04:28,2018-09-11 23:04:33,5.002s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:33,2018-09-11 23:04:37,3.854s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:37,2018-09-11 23:04:39,2.296s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:39,2018-09-11 23:04:42,3.273s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:42,2018-09-11 23:04:42,0.243s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:42,2018-09-11 23:04:43,0.667s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:43,2018-09-11 23:04:44,1.294s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 23:04:44,2018-09-11 23:04:45,0.202s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:04:45,2018-09-11 23:05:15,30.002s,PASSED
switchToFrame,Chrome 68.0.3440.106,,2018-09-11 23:05:15,2018-09-11 23:05:15,0.160s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 23:05:15,2018-09-11 23:05:20,5.001s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-11 23:05:20,2018-09-11 23:05:21,1.108s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 23:05:21,2018-09-11 23:05:23,2.046s,PASSED
